Logging Start for Participant: 11, Environment: Environment 1, Strategy: Strategy 3 
Time Remaining: 00:55, Left Stick: (0.23, 0.97), Right Stick: (-0.05, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.23, 0.97), Right Stick: (0.03, 1.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.25, 0.97), Right Stick: (0.16, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.25, 0.97), Right Stick: (0.16, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.25, 0.97), Right Stick: (0.16, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.25, 0.97), Right Stick: (0.16, 0.99), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.25, 0.97), Right Stick: (0.00, -0.04), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.25, 0.97), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.25, 0.97), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.25, 0.97), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.27, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.27, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.27, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.27, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.28, 0.96), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: True
Time Remaining: 00:55, Left Stick: (0.33, 0.94), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.33, 0.94), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.33, 0.94), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:55, Left Stick: (0.33, 0.94), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: True
Time Remaining: 00:54, Left Stick: (0.33, 0.93), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:54, Left Stick: (0.32, 0.82), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:54, Left Stick: (0.32, 0.82), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:54, Left Stick: (0.32, 0.75), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:54, Left Stick: (0.31, 0.64), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
Time Remaining: 00:54, Left Stick: (0.30, 0.51), Right Stick: (0.00, 0.00), D-Pad Up: 0, D-Pad Down: 0, South Button: False
